Data Venda,Id Loja,Id Produto,Id Cliente,Qtd. Vendida,Qtd. Devolvida,Preco Unitario
1/1/2022,500,83,7604,1,0,99.99
1/1/2022,879,83,7605,2,0,99.99
1/1/2022,679,83,7606,1,0,99.99
1/1/2022,791,83,7607,1,0,99.99
1/1/2022,644,83,7608,4,0,99.99
1/1/2022,670,83,7609,1,0,99.99
1/1/2022,502,83,7610,1,0,99.99
1/1/2022,567,83,7611,1,0,99.99
1/1/2022,658,83,7612,1,0,99.99
1/1/2022,643,1715,16576,1,0,70.13
1/1/2022,783,1715,16577,1,0,70.13
1/1/2022,430,1715,16578,2,0,70.13
1/1/2022,561,1715,16579,1,0,70.13
1/1/2022,924,1715,16580,1,0,70.13
1/1/2022,579,1715,16601,1,0,70.13
1/1/2022,717,1715,16602,1,0,70.13
1/1/2022,644,1715,16603,1,0,70.13
1/1/2022,525,1715,16604,1,0,70.13
1/1/2022,754,1845,10470,1,0,1599.00
1/1/2022,449,1845,10471,1,0,1599.00
1/1/2022,511,1845,10472,1,0,1599.00
1/1/2022,443,1845,10473,4,0,1599.00
1/1/2022,939,1715,16605,1,0,70.13
1/1/2022,638,1715,16606,1,0,70.13
1/1/2022,707,1715,16607,1,0,70.13
1/1/2022,474,1715,16608,1,0,70.13
1/1/2022,759,1715,16609,1,0,70.13
1/1/2022,517,1715,16610,1,0,70.13
1/1/2022,733,1715,16611,1,0,70.13
1/1/2022,520,1715,16612,1,0,70.13
1/1/2022,918,1715,16613,1,0,70.13
1/1/2022,849,1845,10474,1,0,1599.00
1/1/2022,717,1845,10475,3,0,1599.00
1/1/2022,939,1845,10476,1,0,1599.00
1/1/2022,617,1845,10477,1,0,1599.00
1/1/2022,746,1845,10478,1,0,1599.00
1/1/2022,615,1888,10479,1,0,1989.00
1/1/2022,646,1888,10480,1,0,1989.00
1/1/2022,532,1888,10481,1,0,1989.00
1/1/2022,507,1888,10482,1,0,1989.00
1/1/2022,884,1888,10483,1,0,1989.00
1/1/2022,433,276,13313,1,0,529.00
1/1/2022,677,276,13314,1,0,529.00
1/1/2022,513,276,13320,1,0,529.00
1/1/2022,627,276,13321,1,0,529.00
1/1/2022,706,276,13322,1,0,529.00
1/1/2022,728,276,13323,1,0,529.00
1/1/2022,903,276,13324,1,0,529.00
1/1/2022,905,276,13325,1,0,529.00
1/1/2022,707,276,13326,1,0,529.00
1/1/2022,565,91,7613,1,0,149.99
1/1/2022,850,91,7614,1,0,149.99
1/1/2022,898,91,7615,1,0,149.99
1/1/2022,657,91,7616,1,0,149.99
1/1/2022,552,91,7617,1,0,149.99
1/1/2022,541,91,7618,1,0,149.99
1/1/2022,458,91,7638,1,0,149.99
1/1/2022,471,91,7639,1,0,149.99
1/1/2022,606,91,7640,1,0,149.99
1/1/2022,793,91,7642,1,1,149.99
1/1/2022,717,224,13327,1,0,599.00
1/1/2022,458,224,13328,1,0,599.00
1/1/2022,652,224,13329,1,0,599.00
1/1/2022,602,224,13330,1,0,599.00
1/1/2022,434,224,13331,1,0,599.00
1/1/2022,738,224,13332,1,0,599.00
1/1/2022,561,224,13333,1,0,599.00
1/1/2022,678,224,13334,1,0,599.00
1/1/2022,911,224,13335,1,0,599.00
1/1/2022,723,1888,10484,1,0,1989.00
1/1/2022,576,1888,10485,1,0,1989.00
1/1/2022,425,1888,10486,1,0,1989.00
1/1/2022,544,1888,10487,1,0,1989.00
