Data Venda,Id Loja,Id Produto,Id Cliente,Qtd. Vendida,Qtd. Devolvida,Preco Unitario
1/1/2024,759,206,17311,1,0,569.00
1/1/2024,856,206,17312,2,0,569.00
1/1/2024,741,206,17314,1,0,569.00
1/1/2024,476,206,17315,1,0,569.00
1/1/2024,740,206,17316,5,0,569.00
1/1/2024,746,206,17317,2,0,569.00
1/1/2024,792,206,17318,1,0,569.00
1/1/2024,525,206,17319,2,0,569.00
1/1/2024,582,206,17320,1,0,569.00
1/1/2024,625,206,17321,1,0,569.00
1/1/2024,530,206,17322,1,0,569.00
1/1/2024,769,206,17323,1,0,569.00
1/1/2024,902,267,17324,1,0,329.00
1/1/2024,860,267,17325,6,0,329.00
1/1/2024,840,267,17326,1,0,329.00
1/1/2024,522,267,17328,1,0,329.00
1/1/2024,944,267,17329,1,0,329.00
1/1/2024,776,267,17349,1,0,329.00
1/1/2024,681,267,17350,6,0,329.00
1/1/2024,907,267,17351,4,0,329.00
1/1/2024,567,267,17352,1,0,329.00
1/1/2024,731,267,17353,1,0,329.00
1/1/2024,505,267,17354,5,0,329.00
1/1/2024,670,267,17534,1,0,329.00
1/1/2024,867,1665,6356,1,0,4.99
1/1/2024,871,1665,6371,3,0,4.99
1/1/2024,493,1665,6382,1,0,4.99
1/1/2024,771,1665,6479,1,0,4.99
1/1/2024,672,1665,6480,4,0,4.99
1/1/2024,453,1665,6494,3,0,4.99
1/1/2024,603,1665,6495,6,0,4.99
1/1/2024,553,1665,6496,4,0,4.99
1/1/2024,576,1665,6497,1,0,4.99
1/1/2024,648,1665,6501,6,0,4.99
1/1/2024,904,1665,6725,2,0,4.99
1/1/2024,670,1665,6726,1,0,4.99
1/1/2024,626,1665,6727,6,0,4.99
1/1/2024,599,1665,6728,2,0,4.99
1/1/2024,827,1665,6729,1,0,4.99
1/1/2024,456,1665,6731,6,0,4.99
1/1/2024,461,1665,6732,1,0,4.99
1/1/2024,512,1665,6733,2,0,4.99
1/1/2024,582,1665,6734,1,0,4.99
1/1/2024,854,1665,6736,1,0,4.99
1/1/2024,653,1665,6737,3,0,4.99
1/1/2024,701,1665,6905,1,0,4.99
1/1/2024,819,1665,6906,1,0,4.99
1/1/2024,775,1665,6907,1,0,4.99
1/1/2024,761,1665,6908,2,0,4.99
1/1/2024,506,1665,6909,1,0,4.99
1/1/2024,492,1665,6910,1,0,4.99
1/1/2024,570,1665,6914,4,0,4.99
1/1/2024,802,1665,6915,1,0,4.99
1/1/2024,714,1665,6916,4,0,4.99
1/1/2024,439,1665,6917,6,0,4.99
1/1/2024,709,1665,6918,1,0,4.99
1/1/2024,807,1665,6919,2,0,4.99
1/1/2024,505,1665,6920,1,0,4.99
1/1/2024,678,1665,6921,1,0,4.99
1/1/2024,572,1665,6923,1,0,4.99
1/1/2024,831,1665,6925,1,0,4.99
1/1/2024,734,1665,6926,5,0,4.99
1/1/2024,599,1665,6928,6,0,4.99
1/1/2024,788,1665,7311,4,0,4.99
1/1/2024,932,1665,7320,2,0,4.99
1/1/2024,735,1665,7332,6,0,4.99
1/1/2024,826,1665,7333,4,0,4.99
1/1/2024,596,1665,7334,1,0,4.99
1/1/2024,753,1665,7335,4,0,4.99
1/1/2024,899,1665,7444,3,0,4.99
1/1/2024,775,1665,7446,4,0,4.99
1/1/2024,929,1665,7447,1,0,4.99
1/1/2024,466,1665,7448,1,0,4.99
1/1/2024,466,1665,7451,6,0,4.99
1/1/2024,435,1665,7452,1,0,4.99
1/1/2024,651,1665,7453,5,0,4.99
1/1/2024,425,1776,3074,1,0,43.00
1/1/2024,794,1776,3075,1,0,43.00
1/1/2024,751,1776,3087,4,0,43.00
1/1/2024,537,1776,3124,1,0,43.00
1/1/2024,501,1776,3125,4,0,43.00
1/1/2024,821,1776,3126,1,0,43.00
1/1/2024,661,1776,3127,1,0,43.00
1/1/2024,791,1776,3128,1,0,43.00
1/1/2024,792,1776,3129,1,0,43.00
1/1/2024,504,1776,3130,5,0,43.00
1/1/2024,467,1776,3131,4,0,43.00
1/1/2024,506,1776,3132,5,0,43.00
1/1/2024,826,1776,3133,6,0,43.00
1/1/2024,610,1671,7458,1,0,4.99
1/1/2024,780,1671,7459,2,0,4.99
1/1/2024,761,1671,7462,1,0,4.99
1/1/2024,463,1671,7463,2,0,4.99
1/1/2024,745,1671,7464,3,0,4.99
1/1/2024,646,1671,7465,2,0,4.99
1/1/2024,891,1671,7466,1,0,4.99
1/1/2024,852,1671,7742,6,0,4.99
1/1/2024,519,1671,7767,5,0,4.99
1/1/2024,916,1671,7794,5,0,4.99
1/1/2024,762,1671,7797,1,0,4.99
1/1/2024,735,1671,7886,1,0,4.99
1/1/2024,590,1671,7896,1,0,4.99
1/1/2024,571,1671,7897,1,0,4.99
1/1/2024,879,1671,7898,1,0,4.99
